Informes Policiales de Accidentes de Tránsito (IPAT) ,Fecha del Accidente,Dirección,Latitud,Longitud,Barrio,Comuna,Corregimiento,Género,Hora,Gravedad,Clase de Accidente,Choque Con,Clase de Vehículo 1,Servicio,Hipótesis,Gravedad Conductor,Embriaguez,Grado,Clase de Vehículo 2,Servicio 2,Hipótesis 2,Gravedad Conductor 2,Embriaguez 2,Grado 2,Motocicleta,Mes
A0010242291,2019-01-19T05:00:00Z,TRANSVERSAL 12 22 42,"4.333354, -74.370033","4°20'00.1""N 74°22'12.1""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T16:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,506.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024292,2019-01-20T05:00:00Z,AV LAS PALMAS 11 10,"4.341240, -74.365179","4°20'28.5""N 74°21'54.6""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T07:05:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,121.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024293,2019-01-20T05:00:00Z,CARRERA 5 CON CALLE 1 ESQUINA,"4.347176, -74.360894","4°20'49.8""N 74°21'39.2""W",FLORIDA,NORTE,N/A,MASCULINO,1899-12-31T08:44:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,139.0,HERIDO,SI,POSITIVA,AUTOMÓVIL,PARTICULAR,115.0,ILESO,SI,NEGATIVA,MOTOCICLETA,enero
A001024294,2019-01-21T05:00:00Z,VIA FUSAGASUGA LA AGUADITA,0,0,SAN ANTONIO,NORTE,N/A,MASCULINO,1899-12-31T16:45:00Z,HERIDOS,CHOQUE,VEHÍCULO,CAMIÓN,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,Sin Informacion,enero
A001024295,2019-01-22T05:00:00Z,CALLE 21 CARRERA 11A,"4.331989, -74.368312","4°19'55.2""N 74°22'05.9""W",BALMORAL,SUR ORIENTAL,N/A,FEMENINO,1899-12-31T10:55:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,Sin Informacion,enero
A001024296,2019-01-24T05:00:00Z,VEREDA BOSACHOQUE,"4.383816, -74.385046","4°23'01.7""N 74°23'06.2""W",VEREDA BOSACHOQUE,Sin Informacion,OCCIDENTAL,MASCULINO,1899-12-31T14:45:00Z,SOLO DAÑOS,CHOQUE,OTROS,CAMIONETA,PARTICULAR,145.0,ILESO,NO,Sin Informacion,CAMIÓN,PUBLICO,145.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A0001024298,2019-01-25T05:00:00Z,KM 69 + 750 ENTRADA TERMINAL,"4.346292, -74.377672","4°20'46.7""N 74°22'39.6""W",SAN JORGE,OCCIDENTAL,N/A,MASCULINO,1899-12-31T06:25:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,102.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,112.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024297,2019-01-25T05:00:00Z,AV PANAMERICANA FRENTE 38 09,"4.329740, -74.381891","4°19'47.1""N 74°22'54.8""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T16:42:00Z,HERIDOS,ATROPELLO,OTROS,MOTOCICLETA,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,enero
A001024299,2019-01-27T05:00:00Z,VEREDA BOSACHOQUE,"4.382362, -74.385129","4°22'56.5""N 74°23'06.5""W",VEREDA BOSACHOQUE,Sin Informacion,OCCIDENTAL,MASCULINO,1899-12-31T12:52:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,115.0,HERIDO,SI,POSITIVA,MOTOCICLETA,PARTICULAR,115.0,HERIDO,SI,NEGATIVA,Sin Informacion,enero
A001024300,2019-01-29T05:00:00Z,CALLE 22 CON CARRERA 11A,"4.331270, -74.368910","4°19'52.6""N 74°22'08.1""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T10:45:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,157.0,ILESO,NO,Sin Informacion,CAMPERO,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,enero
A001024301,2019-02-01T05:00:00Z,CARRERA 12 1 17,"4.347255, -74.366092","4°20'50.1""N 74°21'57.9""W",GAITAN,NORTE,N/A,MASCULINO,1899-12-31T07:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,143.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,143.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024302,2019-02-02T05:00:00Z,PARQUEADERO INTERNO TERMINAL,"4.345494, -74.378078","4°20'43.8""N 74°22'41.1""W",TERMINAL,OCCIDENTAL,N/A,MASCULINO,1899-12-31T13:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,134.0,ILESO,NO,Sin Informacion,BUS,PUBLICO,134.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024303,2019-02-04T05:00:00Z,AV MANUEL HUMBERTO FRENTE A LA UNIVERSIDAD,"4.334124, -74.369058","4°20'02.9""N 74°22'08.6""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T14:50:00Z,SOLO DAÑOS,CHOQUE,OTROS,AUTOMÓVIL,PARTICULAR,145.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,103.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024304,2019-02-05T05:00:00Z,CALLE 10 10B 65,"4.339865, -74.364523","4°20'23.5""N 74°21'52.3""W",POTOSI,CENTRO,N/A,MASCULINO,1899-12-31T17:45:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,BUS,PUBLICO,112.0,ILESO,NO,Sin Informacion,CAMIONETA,PUBLICO,112.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024306,2019-02-08T05:00:00Z,FRENTE AL INDIO,"4.331524, -74.377722","4°19'53.5""N 74°22'39.8""W",Sin Informacion,SUR OCCIDENTAL,N/A,FEMENINO,1899-12-31T08:25:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMPERO,PARTICULAR,112.0,ILESO,NO,Sin Informacion,CAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001204305,2019-02-08T05:00:00Z,CALLE 8 3 44,"4.342744, -74.359334","4°20'33.9""N 74°21'33.6""W",ANTONIO NARIÑO,ORIENTAL,N/A,MASCULINO,1899-12-31T16:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,104.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,104.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024307,2019-02-09T05:00:00Z,CALLE 5 CARRERA 4A ESTE,"4.345624, -74.354760","4°20'44.3""N 74°21'17.1""W",PEKIN,ORIENTAL,N/A,MASCULINO,1899-12-31T07:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PUBLICO,115.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,115.0,ILESO,SI,POSITIVA,Sin Informacion,febrero
A001024308,2019-02-09T05:00:00Z,CALLE 11 8A 05,"4.339468, -74.363303","4°20'22.1""N 74°21'47.9""W",POTOSI,CENTRO,N/A,MASCULINO,1899-12-31T16:13:00Z,HERIDOS,ATROPELLO,OTROS,Sin Informacion,PARTICULAR,157.0,HERIDO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,febrero
A001024309,2019-02-09T05:00:00Z,CALLE 22 CARRERA 9,"4.330091, -74.368281","4°19'48.3""N 74°22'05.8""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T12:48:00Z,HERIDOS,CHOQUE,VEHÍCULO,MOTOCICLETA,PARTICULAR,157.0,HERIDO,SI,NEGATIVA,CAMIONETA,PARTICULAR,123.0,ILESO,SI,NEGATIVA,MOTOCICLETA,febrero
A001024310,2019-02-09T05:00:00Z,CARRERA 27 CON 1,"4.345519, -74.377249","4°20'43.9""N 74°22'38.1""W",TERMINAL,OCCIDENTAL,N/A,MASCULINO,1899-12-31T16:55:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PUBLICO,122.0,ILESO,NO,Sin Informacion,BUS,PUBLICO,122.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024311,2019-02-14T05:00:00Z,AV LAS PALMAS,"4.342652, -74.361838","4°20'33.6""N 74°21'42.6""W",CENTRO,CENTRO,N/A,FEMENINO,1899-12-31T08:25:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A0010274312,2019-02-14T05:00:00Z,CALLE 10 CON CARRERA 8,"4.341110, -74.363184","4°20'28.0""N 74°21'47.5""W",POTOSI,CENTRO,N/A,MASCULINO,1899-12-31T17:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIÓN,PUBLICO,112.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PUBLICO,112.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024313,2019-02-19T05:00:00Z,CARRERA 23 6 27 MANDALAY,"4.343992, -74.372769","4°20'38.4""N 74°22'22.0""W",MANDALAY,OCCIDENTAL,N/A,MASCULINO,1899-12-31T11:50:00Z,HERIDOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,122.0,HERIDO,SI,NEGATIVA,BICICLETA,PARTICULAR,102.0,HERIDO,SI,NEGATIVA,Sin Informacion,febrero
A,2019-02-22T05:00:00Z,KILOMETRO 6 VIA LA AGUADITA,"4.351040, -74.355773","4°21'03.7""N 74°21'20.8""W",VEREDA LA PALMA,Sin Informacion,NORTE,MASCULINO,1899-12-31T06:10:00Z,HERIDOS,CHOQUE,OTROS,MOTOCICLETA,PARTICULAR,139.0,HERIDO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,febrero
A,2019-02-22T05:00:00Z,AV MANUEL HUMBERTO CON CALLE 16 B,"4.336781, -74.365517","4°20'12.4""N 74°21'55.9""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T16:09:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,132.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,132.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024314,2019-02-22T05:00:00Z,KM 6 VIA FGGA LA AGUADITA,0,0,SAN ANTONIO,NORTE,N/A,MASCULINO,1899-12-31T06:10:00Z,HERIDOS,CHOQUE,OBJETO,MOTOCICLETA,PARTICULAR,139.0,HERIDO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,MOTOCICLETA,febrero
A001024315,2019-02-22T05:00:00Z,AV MAUEL HUMBERTO CON CALLE 16B,"4.336781, -74.365517","4°20'12.4""N 74°21'55.9""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T16:00:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,132.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,132.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024316,2019-02-22T05:00:00Z,CALLE 22 CARRERA 69,"4.326683, -74.404684","4°19'36.1""N 74°24'16.9""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T11:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,105.0,ILESO,SI,NEGATIVA,AUTOMÓVIL,PARTICULAR,104.0,ILESO,SI,NEGATIVA,Sin Informacion,febrero
A,2019-02-26T05:00:00Z,CARRERA 3 27 33,"4.323096, -74.363788","4°19'23.2""N 74°21'49.6""W",SAN FERNANDO,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T17:55:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,157.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,153.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A001024317,2019-02-26T05:00:00Z,CARRERA 3 27 33,"4.323099, -74.363793","4°19'23.2""N 74°21'49.7""W",SAN FERNANDO,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T17:55:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,157.0,ILESO,NO,Sin Informacion,MOTOCICLETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,febrero
A,2019-03-03T05:00:00Z,CALLE 8 11 30,"4.341406, -74.365253","4°20'29.1""N 74°21'54.9""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T16:34:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024319,2019-03-03T05:00:00Z,CALLE 18 11 30,"4.334468, -74.366665","4°20'04.1""N 74°21'60.0""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T16:34:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,CAMIONETA,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024320,2019-03-03T05:00:00Z,CARRERA 12 CON CALLE 7,"4.343381, -74.365774","4°20'36.2""N 74°21'56.8""W",LUXEMBURGO,CENTRO,N/A,MASCULINO,1899-12-31T14:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,112.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,112.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024321,2019-03-05T05:00:00Z,AV. PANAMERICANA 39A 10 MERKA ÉXITO,"4.329377, -74.383693","4°19'45.8""N 74°23'01.3""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T17:36:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PARTICULAR,134.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,134.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024322,2019-03-07T05:00:00Z,CALLE 12 2 02,"4.338979, -74.358736","4°20'20.3""N 74°21'31.5""W",EL TEJAR,ORIENTAL,N/A,MASCULINO,1899-12-31T18:50:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PUBLICO,157.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024323,2019-03-07T05:00:00Z,DIAGONAL 16 5 74,"4.336059, -74.361925","4°20'09.8""N 74°21'42.9""W",LOS ROBLES,ORIENTAL,N/A,MASCULINO,1899-12-31T18:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PUBLICO,157.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A,2019-03-08T05:00:00Z,CARRERA 2 ESTE CON CALLE 8A,"4.347959, -74.353111","4°20'52.7""N 74°21'11.2""W",PEKIN,ORIENTAL,N/A,MASCULINO,1899-12-31T17:14:00Z,HERIDOS,ATROPELLO,OTROS,CAMIÓN,PUBLICO,118.0,HERIDO,NO,Sin Informacion,Sin Informacion,Sin Informacion,0,Sin informacion,Sin Informacion,Sin Informacion,Sin Informacion,marzo
A001024324,2019-03-08T05:00:00Z,CARRERA 2 24 33,"4.325219, -74.363462","4°19'30.8""N 74°21'48.5""W",FUSACATAN,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T18:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIÓN,PUBLICO,157.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024326,2019-03-11T05:00:00Z,AV PANAMERICANA KM 69+700 FRENTE TERMINAL,"4.345599, -74.377471","4°20'44.2""N 74°22'38.9""W",TERMINAL,OCCIDENTAL,N/A,MASCULINO,1900-01-01T01:06:16Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,145.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,145.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A0008244321,2019-03-12T05:00:00Z,AV. LAS PALMAS FRENTE 8 31,"4.342046, -74.363358","4°20'31.4""N 74°21'48.1""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T15:40:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PUBLICO,121.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PUBLICO,121.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001024327,2019-03-12T05:00:00Z,CALLE 2 NORTE 5A ESTE CONJUNTO LA PALMA,"4.349531, -74.354079","4°20'58.3""N 74°21'14.7""W",LA PALMA,NORTE,N/A,MASCULINO,1899-12-31T09:56:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,CAMIONETA,PARTICULAR,134.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PUBLICO,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A000824355,2019-03-13T05:00:00Z,CALLE 22 AV PANAMERICANA CARRERA 68,"4.326686, -74.403717","4°19'36.1""N 74°24'13.4""W",LA PAMPA,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T17:40:00Z,HERIDOS,CHOQUE,VEHÍCULO,BUS,PUBLICO,123.0,ILESO,SI,NEGATIVA,MOTOCICLETA,PARTICULAR,139.0,HERIDO,SI,NEGATIVA,Sin Informacion,marzo
A,2019-03-15T05:00:00Z,VEREDA USATHAMA,"4.397638, -74.385274","4°23'51.5""N 74°23'07.0""W",VEREDA USATHAMA,Sin Informacion,OCCIDENTAL,MASCULINO,1899-12-31T17:15:00Z,HERIDOS,CHOQUE,VEHÍCULO,BICICLETA,PARTICULAR,90.0,HERIDO,NO,Sin Informacion,CAMIONETA,PARTICULAR,157.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001047780,2019-03-15T05:00:00Z,AV. MANUEL HUMBERTO CON CALLE 18,"4.335129, -74.367533","4°20'06.5""N 74°22'03.1""W",BALMORAL,SUR ORIENTAL,N/A,MASCULINO,1899-12-31T09:25:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,132.0,ILESO,NO,Sin Informacion,MICROBUS,PUBLICO,132.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001047781,2019-03-15T05:00:00Z,CALLE 8 9 23,"4.341741, -74.364102","4°20'30.3""N 74°21'50.8""W",CENTRO,CENTRO,N/A,MASCULINO,1899-12-31T08:30:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,MICROBUS,PARTICULAR,122.0,ILESO,NO,Sin Informacion,AUTOMÓVIL,PARTICULAR,122.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
A001047782,2019-03-16T05:00:00Z,AV. PANAMERICANA,"4.329989, -74.380769","4°19'48.0""N 74°22'50.8""W",COOVIPROF,SUR OCCIDENTAL,N/A,MASCULINO,1899-12-31T17:10:00Z,SOLO DAÑOS,CHOQUE,VEHÍCULO,AUTOMÓVIL,PARTICULAR,102.0,ILESO,NO,Sin Informacion,CAMIONETA,PARTICULAR,102.0,ILESO,NO,Sin Informacion,Sin Informacion,marzo
